hand0,hand1,cc0,cc1,cc2,cc3,cc4,b0,b1,b2,mean
0,1,2,3,4,7,17,1,0,989,0.99899
0,1,2,3,4,7,18,1,0,989,0.99899
0,1,2,3,4,7,19,1,0,989,0.99899
0,1,2,3,4,7,20,1,0,989,0.99899
0,1,2,3,4,7,21,1,0,989,0.99899
0,1,2,3,4,7,22,1,0,989,0.99899
0,1,2,3,4,7,23,1,0,989,0.99899
0,1,2,3,4,7,24,1,0,989,0.99899
0,1,2,3,4,7,25,1,0,989,0.99899
0,1,2,3,4,7,26,1,0,989,0.99899
0,1,2,3,4,7,27,1,0,989,0.99899
0,1,2,3,4,7,28,1,0,989,0.99899
0,1,2,3,4,7,29,1,0,989,0.99899
0,1,2,3,4,7,30,1,0,989,0.99899
0,1,2,3,4,7,31,1,0,989,0.99899
0,1,2,3,4,7,32,1,0,989,0.99899
0,1,2,3,4,7,33,1,0,989,0.99899
0,1,2,3,4,7,34,1,0,989,0.99899
0,1,2,3,4,7,35,1,0,989,0.99899
0,1,2,3,4,7,36,1,0,989,0.99899
0,1,2,3,4,7,37,1,0,989,0.99899
0,1,2,3,4,7,38,1,0,989,0.99899
0,1,2,3,4,7,39,1,0,989,0.99899
0,1,2,3,4,7,40,1,0,989,0.99899
0,1,2,3,4,7,41,1,0,989,0.99899
0,1,2,3,4,7,42,1,0,989,0.99899
0,1,2,3,4,7,43,1,0,989,0.99899
0,1,2,3,4,7,44,1,0,989,0.99899
0,1,2,3,4,7,45,1,0,989,0.99899
0,1,2,3,4,7,46,1,0,989,0.99899
0,1,2,3,4,7,47,1,0,989,0.99899
0,1,2,3,4,7,48,1,0,989,0.99899
0,1,2,3,4,7,49,1,0,989,0.99899
0,1,2,3,4,7,50,1,0,989,0.99899
0,1,2,3,4,7,51,1,0,989,0.99899
0,1,2,3,4,8,9,15,0,975,0.984848
0,1,2,3,4,8,10,15,0,975,0.984848
0,1,2,3,4,8,11,15,0,975,0.984848
0,1,2,3,4,8,12,15,0,975,0.984848
0,1,2,3,4,8,13,0,0,990,1
0,1,2,3,4,8,14,0,0,990,1
0,1,2,3,4,8,15,0,0,990,1
0,1,2,3,4,8,16,0,0,990,1
0,1,2,3,4,8,17,0,0,990,1
